player_id,recent_team,season,week,passing_epa,season_type,completions,interceptions,passing_tds,attempts,sacks,passing_yards
00-0034177,NYJ,2023,12,-18.66758491814835,REG,27,2,1,38,7,179
00-0034177,NYJ,2023,13,-4.676407473485347,REG,14,1,0,25,1,148
00-0034401,MIA,2023,3,4.690234114881605,REG,2,0,1,2,0,67
00-0034401,MIA,2023,6,-8.976947910850868,REG,0,1,0,1,0,0
00-0034401,MIA,2023,12,NA,REG,0,0,0,0,0,0
00-0034401,MIA,2023,13,-1.0640873379306868,REG,1,0,0,1,0,3
00-0034401,MIA,2023,15,-1.8901005836669356,REG,2,0,0,2,0,4
00-0034401,MIA,2023,17,NA,REG,0,0,0,0,0,0
00-0034438,ATL,2023,18,-10.079575101757655,REG,3,1,0,4,1,27
00-0034577,BUF,2023,2,NA,REG,0,0,0,0,0,0
00-0034577,BUF,2023,3,NA,REG,0,0,0,0,0,0
00-0034577,BUF,2023,4,NA,REG,0,0,0,0,0,0
00-0034577,BUF,2023,11,NA,REG,0,0,0,0,0,0
00-0034577,BUF,2023,15,NA,REG,0,0,0,0,0,0
00-0034577,BUF,2023,17,NA,REG,0,0,0,0,0,0
00-0034771,PIT,2023,15,-5.6805059256148525,REG,2,0,0,3,1,3
00-0034771,PIT,2023,16,8.335159954724112,REG,17,0,2,27,1,290
00-0034771,PIT,2023,17,11.097580417471297,REG,18,0,0,24,1,274
00-0034771,PIT,2023,18,0.573040845541982,REG,18,0,1,20,3,152
00-0034796,BAL,2023,1,-4.415662565714761,REG,17,1,0,22,4,169
00-0034796,BAL,2023,2,12.392853365532094,REG,24,0,2,33,0,237
00-0034796,BAL,2023,3,-7.2513471138071,REG,22,0,0,31,4,202
00-0034796,BAL,2023,4,6.872492622467689,REG,15,0,2,19,3,186
00-0034796,BAL,2023,5,-13.225236594514607,REG,22,1,0,38,4,236
00-0034796,BAL,2023,6,5.846638061230958,REG,21,1,1,30,1,223
00-0034796,BAL,2023,7,25.262835674511734,REG,21,0,3,27,0,357
00-0034796,BAL,2023,8,-4.98437022745088,REG,18,0,1,27,4,157
00-0034796,BAL,2023,9,-3.1819175304861713,REG,21,0,0,26,1,187
00-0034796,BAL,2023,10,-5.893444059215654,REG,13,2,1,23,3,223
00-0034796,BAL,2023,11,8.243131167493246,REG,16,0,2,26,3,264
00-0034796,BAL,2023,12,-3.558443205733816,REG,18,0,1,32,2,177
00-0034796,BAL,2023,14,11.559825902449342,REG,24,1,3,43,2,316
00-0034796,BAL,2023,15,-3.565044596736317,REG,14,1,1,24,3,171
